date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:36	21985/21985	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-55e1%22	https://getbootstrap.com/docs/4.1/utilities/visibility/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/visibility/index.html	(from )
14:07:36	21115/21115	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-527b%22	https://getbootstrap.com/docs/4.1/extend/icons/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/extend/icons/index.html	(from )
14:07:37	29140/29140	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-71d4%22	https://getbootstrap.com/docs/4.1/extend/approach/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/extend/approach/index.html	(from )
14:07:37	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5071b4-4f71%22	https://getbootstrap.com/docs/4.1/assets/js/vendor/popper.min.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/js/vendor/popper.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:37	69641/69641	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-11009%22	https://getbootstrap.com/docs/4.1/migration/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/migration/index.html	(from )
14:07:38	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5071b4-c75f%22	https://getbootstrap.com/docs/4.1/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/dist/js/bootstrap.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:39	174634/174634	---M-Z	200	added ('OK')	application/javascript	etag:W/%222aa2a-WaeCny/ryu7zIUSc8Ul+HHBPL6Y%22	https://cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	C:/My%20Web%20Sites/Bootstrap/cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:39	22446/22446	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-57ae%22	https://getbootstrap.com/docs/4.1/about/overview/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/about/overview/index.html	(from )
14:07:39	28944/28944	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-7110%22	https://getbootstrap.com/docs/4.1/utilities/text/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/text/index.html	(from )
14:07:41	51609/51609	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5071b4-c999%22	https://getbootstrap.com/docs/4.1/assets/js/docs.min.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/js/docs.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:43	20337/20337	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-4f71%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/My%20Web%20Sites/Bootstrap/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://getbootstrap.com/docs/4.1/components/dropdowns/)
